title,address,phone,email
Christ Embassy Dallas,"1130 W Trinity Mills Road Carrollton, TX 75006, United States",,
Christ Embassy North Dallas,"3966 Vitruvian WayAddison, TX 75001, USA",6823603480,cec.northdallas@gmail.com
Christ Embassy Dallas Central,"13657 Jupiter Road, Suite 100Dallas, TX 75238, USA",4692698452,cedallascentral@gmail.com
Christ Embassy Pflugerville,"12330 N Interstate Hwy 35Courtyard, MarriottAustin, TX 78753, USA",5127300154,christembassypflugerville@gmail.com
Christ Embassy Travis,"5660 N Interstate Hwy 35Courtyard, MarriottAustin, TX 78761, USA",5127154485,christembassytravis@gmail.com
Christ Embassy Aurora,"700 Billings Street, Unit QAurora, CO 80011, USA",7202604154,christembassyaurora@gmail.com
Christ Embassy Madison,"29 S Mill Street, Neighborhood House Community CenterMadison, WI 53715, USA",6082825297,christembassymadison@gmail.com
Christ Embassy Chicago South,"751 East 65th Street Chicago, IL 60637, USA",7736889060,cechicagosouthside@gmail.com
Christ Embassy Indianapolis,"4030 N High School Road Indianapolis, IN 46254, USA",3176412751,ceindianapolis@gmail.com
Christ Embassy San Antonio,"2643 Mossrock Drive San Antonio, TX 78230, USA",2103323755,christembassysa1@gmail.com
Christ Embassy Columbus,"3136 N. National Road Columbus, IN 47201, USA",8124188956,christembassycolumbus@gmail.com
Christ Embassy Carmel,"40 Executive Drive, Suite DCarmel, IN 46032, USA",3177285736,christembassycarmel@gmail.com
Christ Embassy Waukesha,"1120 Baxter Street Waukesha, WI 53186, USA",4145143917,cewaukesha@gmail.com
Christ Embassy Milwaukee,"7817 W. Brown Deer Road Milwaukee, WI 53223, USA",4145593695,christembassywisconsin@gmail.com
Christ Embassy Marietta,"2131 Kingston Court, Suite 107Marietta, GA 30067, USA",7708600052,christembassy.marietta@gmail.com
Christ Embassy Atlanta,"6728 Highway 85Suite HRiverdale, GA 30274, United States",7707023982,christembassyatlanta@gmail.com
Christ Embassy Suwanee,"1615 Old Peachtree Road Suwanee, GA 30024, USA",8772275581,cesuwanee@gmail.com
Christ Embassy Duluth,"270 Arnold Road, Suite CLawrenceville, GA 30044, USA",7707020322,celithonia@gmail.com
Christ Embassy Gainesville,"726 Jesse Jewell Parkway, Budgeted Inn & SuitesGainesville, GA 30501, USA",5168534905,cegainesville@yahoo.com
Christ Embassy Michigan,"8967 Wayne RdLivonia, MI 48150, USA",3136564385,christembassymichigan@gmail.com
Christ Embassy Sterling Heights,"34720 Huntley Drive, Apt. 21Sterling Heights, MI 48312, USA",8048698570,christembassysterlingheights@gmail.com
Christ Embassy Rockhill,"2625 Cherry Road, Quality Inn and, SuitesRock Hill, SC 29730, USA",2405932154,christembassyrockhillsc@gmail.com
Christ Embassy Durham,"3514 University Drive Durham, NC 27707, USA",9193715764,christembassycarolina@yahoo.com
Christ Embassy Raleigh,"1905 Spring Forest Road, Millbrook Exchange CentreRaleigh, NC 27615, USA",9199317507,ceraleighusa@gmail.com
Christ Embassy Wake Forest,"1001 Morningside Creek WayWake Forest, NC 27587, USA",9192598798,
Christ Embassy Laurel,"8955 Henkels Lane, Suite 505Annapolis Junction, MD 20701, USA",2402808089,christembassylaurel@gmail.com
Christ Embassy Hampton Roads,"1216 Granby Street, Suite 3Norfolk, VA 23510, USA",7045911874,christembassy.hamtponroads@gmail.com
Christ Embassy Reading,"631 Washington Street Reading, PA 19601, USA",7326822730,christembassy.reading.pa@gmail.com
Christ Embassy Delaware,"750 Otts Chapel Road Newark, DE 19713, USA",9088849583,cedelaware1@gmail.com
Christ Embassy Philadelphia,"1820 E Glenwood AvePhiladelphia, PA 19134, USA",2159879771,
Christ Embassy Miami,"1601 N. Palm Avenue, Suite 210Pembroke Pines, FL 33026, USA",9543933075,christembassyfloridachurch1@gmail.com
Christ Embassy Waltham,"315 Moody Street Waltham MA 2453, USA",6179554332,christembassymass@gmail.com
