Title,Type,Description,City,Address,Origin,Email,Phone,WhatsApp,WebsiteURL,CreatedAt,Status,IsActive,Featured,Company,PayRange,Skills,JobApplyURL,JobStartDate,EventStart,EventEnd,Deadline
"Patterns of Love ""Dallas Edition""",Events,"Patterns of Love ""Dallas Edition""",Dallas,"TX Tea Room, 2815 Main Street, Suite B, Dallas, TX 75226",Nigeria,,,,https://posh.vip/e/patterns-of-love-dallas-edition?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnDlkit9N_HgX0SmTnFPj6y5x2fKd95rH-ckO16bWQNHYAmfomjqXbfgqA2RM_aem_qgMVZJ3i0BCg74nCEvS2dg,2026-03-16T23:29:47Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Native Restaurant and Lounge,Food,West African Restaurant,Brooklyn,"911 Broadway, Brooklyn, NY 11206",Nigeria,,17187478288,,http://nativebk.com/,2026-03-17T04:12:42Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
AGEGE BUKKAH RESTAURANT,Food,West African Restaurant,Newark,"374 Littleton Ave, Newark, NJ 07103",Nigeria,,19732002010,,https://order.online/business/naija-house-restaurant-11609295,2026-03-17T04:12:41Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Le Baobab Gouygui,Food,West African Restaurant,New York,"120 W 116th St, New York, NY 10026",Nigeria,,12128644700,,https://www.lebaobabharlem.com/home,2026-03-17T04:12:41Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Divine Flavored caterings,Food,West African Restaurant,Brooklyn,"992 Atlantic Ave, Brooklyn, NY 11238",Nigeria,,17184516330,,https://divineflavoredcaterings.com/,2026-03-17T04:12:41Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
NIMA AFRICAN RESTAURANT,Food,African Restaurant,Newark,"894-900 18th Ave, Newark, NJ 07106",Nigeria,,19733719361,,https://nimanewark.com/,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Odabro African Restaurant and Lounge,Food,West African Restaurant,City of Orange,"132 S Essex Ave, City of Orange, NJ 07050",Nigeria,,19736764100,,http://odabroafricanamericanrestaurantandlounge.com/,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Accra,Food,West African Restaurant,The Bronx,"2041 Davidson Ave, Bronx, NY 10453",Nigeria,,17185848500,,https://accra-ny.shop/,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
King's Pride Food,Food,West African Restaurant,Jersey City,"596 Communipaw Ave, Jersey City, NJ 07304",Nigeria,,12017215929,,http://kingspridefood.com/,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
EazyLife Restaurant & Lounge - West African Cuisine,Food,EazyLife Restaurant & Lounge - West African Cuisine,The Bronx,"1300 E 222nd St, Bronx, NY 10469",Nigeria,,13476037644,,https://www.eazyliferestaurant.com/,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
